arun@arun-h110:~/git/Text_frequency_research$ ./a.out RC_2013-04.zst 250000 4096 test.ix
Csz: 250000, pgsz: 4096
894714 810000116160183=21843397+56812897+42374928 32542965 630017778 15.2149
905844 820000117283223=22058021+57355645+42788962 32808193 635317081 15.6294
916882 830000118549967=22298052+57962861+43262652 33112986 641355687 17.2076
927964 840000119743936=22526809+58544733+43697164 33403668 647134570 15.7459
939033 850000121004026=22765154+59154770+44162145 33710288 653283461 16.9721
950128 860000122238911=23000263+59758465+44610481 34012154 659338325 16.9
961260 870000123458245=23233306+60350981+45056196 34308206 665225072 16.8913
972424 880000124673076=23464513+60935225+45507237 34602521 671077928 16.9604
983571 890000125884344=23693920+61524697+45951042 34898068 676990940 17.3499
994789 900000127057734=23916914+62089299+46386563 35176038 682573980 16.713
1005944 910000128303145=24152135+62684289+46852631 35457732 688208181 17.5605
1017100 920000129430532=24368313+63227679+47268900 35725100 693526311 15.7289
1028294 930000130528677=24578028+63757612+47674284 35985157 698709750 15.1859
1039422 940000131687827=24798360+64320403+48099629 36262004 704235493 16.5
1050473 950000132854633=25020472+64887893+48525919 36537275 709751562 16.7142
1061568 960000134043070=25250333+65467521+48956681 36810658 715188548 17.2645
1072599 970000135291847=25485760+66067542+49422293 37097971 720951680 18.3418
1083733 980000136399100=25701026+66611278+49818919 37356324 726128080 16.7345
1094785 990000137519050=25917257+67155540+50227043 37621628 731417183 16.9912
1105876 1000000138665713=26137695+67717784+50640862 37892335 736863406 17.6413
1117034 1010000139787403=26354448+68264708+51048328 38158208 742192692 16.7694
1128112 1020000140921791=26573668+68822755+51454807 38428601 747595411 16.2331
1139060 1030000142169262=26814500+69435817+51902697 38730926 753653304 18.5872
1150007 1040000143561529=27079998+70114418+52410413 39067197 760429927 21.0769
1160894 1050000144998334=27351326+70820475+52930359 39418431 767518588 22.2583
1171814 1060000146379096=27613815+71499763+53428048 39756404 774340806 21.8155
1182789 1070000147771413=27879098+72187374+53926681 40097086 781204891 22.33
1193726 1080000149134067=28139227+72857138+54417549 40427737 787873456 22.0483
1204582 1090000150558189=28410800+73563244+54924922 40778816 794934169 22.5548
1215452 1100000152005113=28686816+74275924+55445128 41126253 801964661 22.5507
1226363 1110000153500823=28969235+75014161+55983169 41488997 809321586 24.0582
1237247 1120000154937436=29243149+75724625+56496704 41834675 816311011 23.4449
1248176 1130000156402735=29522272+76447278+57022338 42189168 823477412 24.2528
1259068 1140000157861130=29797985+77168674+57545265 42544709 830703121 24.5157
1269968 1150000159329507=30076803+77900612+58066164 42900921 837911025 25.48
1280888 1160000160787360=30353505+78624948+58585504 43259038 845153532 24.6009
1291754 1170000162257086=30632524+79353396+59110035 43616530 852390396 23.7735
1302652 1180000163740225=30914948+80088433+59638609 43973446 859630582 25.4326
1313613 1190000165222365=31196415+80824289+60167001 44333272 866919127 25.3266
1324596 1200000166705142=31477697+81562307+60693492 44691789 874209549 25.794
1335456 1210000168224635=31765451+82316176+61235830 45060448 881695761 26.9087
1346441 1220000169783151=32059976+83084342+61797326 45431680 889259832 27.5562
1357399 1230000171340127=32353047+83856368+62354089 45805507 896867458 27.6724
1368385 1240000172947613=32655799+84649796+62933488 46189162 904682894 26.8575
1379469 1250000174578358=32960715+85458237+63518400 46583244 912746093 19.8515
1390543 1260000176216496=33265768+86260659+64117377 46972835 920701140 19.8847
1401635 1270000177844400=33572064+87068311+64699573 47366659 928758879 20.3999
1412662 1280000179448464=33876559+87868585+65267070 47755568 936677787 20.2035
1423732 1290000181048818=34176735+88658077+65844470 48141843 944571131 20.2105
1434749 1300000182708017=34486060+89473649+66447223 48540066 952734088 20.4704
1445738 1310000184393707=34802515+90300279+67060585 48949568 961030511 21.1033
1456743 1320000186070233=35117420+91124338+67668658 49354081 969253651 21.5212
1467716 1330000187826318=35446440+91987570+68306202 49774959 977844862 22.8954
1478847 1340000189576204=35770547+92843092+68948286 50197073 986457999 23.2956
